,MAE,RMSE,R2,MAPE
Linear Regression,14.413663173697865,27.435720697298255,0.9173506848134639,117.61767360646435
XGBoost,15.188008308410645,32.80779170089115,0.881815493106842,76.02211570802125
LightGBM,19.475365212231665,34.38954940333309,0.8701447584762236,139.71557836402022
Random Forest,18.04343738059472,37.438018844809854,0.8461022641140121,102.63255805636307
