iter	RMSE
0	14.14356655
1	14.03382212
2	13.93272652
3	13.85172519
4	13.78312153
5	13.63138723
6	13.47124614
7	13.38973051
8	13.30726382
9	13.24743456
10	13.20651246
11	13.14954384
12	13.11322052
13	13.05691298
14	12.98390148
15	12.83241686
16	12.78474284
17	12.75049357
18	12.72407575
19	12.64773704
20	12.56702533
21	12.53949294
22	12.49351148
23	12.46819119
24	12.43331324
25	12.40465929
26	12.3878569
27	12.2590689
28	12.14497695
29	12.04299737
30	11.95244969
31	11.93452912
32	11.85097046
33	11.77828519
34	11.73703952
35	11.70581719
36	11.68075253
37	11.60779746
38	11.58397766
39	11.54929032
40	11.51833242
41	11.43692722
42	11.37353211
43	11.31140706
44	11.29494966
45	11.24463727
46	11.21910545
47	11.1682793
48	11.15921079
49	11.11881849
50	11.08720456
51	11.06808943
52	11.05171293
53	11.02256341
54	11.01127642
55	10.98437569
56	10.97551475
57	10.94685382
58	10.93549331
59	10.89746497
60	10.8851428
61	10.85609545
62	10.84391271
63	10.81901653
64	10.81026137
65	10.80476971
66	10.7937854
67	10.75205579
68	10.73095057
69	10.71790827
70	10.70646025
71	10.70125696
72	10.66695392
73	10.62707508
74	10.62517998
75	10.60326643
76	10.5792369
77	10.56858582
78	10.53862503
79	10.52648821
80	10.51530325
81	10.50603591
82	10.48913768
83	10.47836099
84	10.46218543
85	10.43855126
86	10.43686723
87	10.40651262
88	10.40477218
89	10.36796284
90	10.36288488
91	10.33047794
92	10.3176647
93	10.30535497
94	10.29615547
95	10.27923976
96	10.24972322
97	10.22473139
98	10.21826842
99	10.19380774
100	10.18579239
101	10.17184064
102	10.15350574
103	10.14288186
104	10.13790492
105	10.13345694
106	10.13055699
107	10.10994864
108	10.09379463
109	10.08800337
110	10.07975721
111	10.06621685
112	10.06204611
113	10.04320373
114	10.0427062
115	10.01167893
116	9.996312865
117	9.990826548
118	9.986499127
119	9.96535041
120	9.961187235
121	9.94026184
122	9.935775493
123	9.911915666
124	9.906583407
125	9.899132523
126	9.896273417
127	9.876949543
128	9.865652414
129	9.861317862
130	9.858829165
131	9.845844023
132	9.84299909
133	9.840063593
134	9.834098367
135	9.825293365
136	9.812899124
137	9.794757368
138	9.786398266
139	9.782860984
140	9.76834393
141	9.741060784
142	9.736957717
143	9.713819434
144	9.711288507
145	9.690939362
146	9.681392636
147	9.668376716
148	9.658706533
149	9.639795121
150	9.620018025
151	9.611569589
152	9.600501392
153	9.595935033
154	9.594056515
155	9.577070382
156	9.571809507
157	9.55656746
158	9.551725283
159	9.542877068
160	9.539176839
161	9.531141175
162	9.510838228
163	9.498006617
164	9.492411911
165	9.484951267
166	9.479416998
167	9.471110966
168	9.461047383
169	9.452356773
170	9.434984726
171	9.418539871
172	9.4142004
173	9.405049021
174	9.395818414
175	9.39291078
176	9.376823352
177	9.366519349
178	9.346462508
179	9.335264425
180	9.326644679
181	9.320228311
182	9.314355208
183	9.305665959
184	9.298602896
185	9.280845986
186	9.27529977
187	9.270593417
188	9.259945303
189	9.251359011
190	9.246445574
191	9.24220979
192	9.234554433
193	9.225748323
194	9.216034961
195	9.206331941
196	9.197053356
197	9.18761253
198	9.179656139
199	9.175152277
200	9.160499079
201	9.155929714
202	9.153034703
203	9.142447175
204	9.127398938
205	9.121049406
206	9.112866832
207	9.106314218
208	9.090079477
209	9.085399816
210	9.077508718
211	9.071038966
212	9.065224778
213	9.048726064
214	9.044331973
215	9.02908651
216	9.023299981
217	9.012973213
218	9.007307854
219	8.999694419
220	8.996427177
221	8.987060746
222	8.97835486
223	8.972002134
224	8.961512813
225	8.955165954
226	8.948048746
227	8.940608028
228	8.939615111
229	8.936651318
230	8.929867378
231	8.923254159
232	8.915248381
233	8.901963829
234	8.895826964
235	8.891334907
236	8.884187281
237	8.881022757
238	8.87377198
239	8.869679071
240	8.866502206
241	8.854082578
242	8.845575422
243	8.840036899
244	8.833511595
245	8.828205185
246	8.822537022
247	8.815771094
248	8.809259442
249	8.799638627
250	8.795647968
251	8.79117744
252	8.785284808
253	8.764645948
254	8.759822971
255	8.754000604
256	8.738965364
257	8.729877645
258	8.724677139
259	8.713805484
260	8.70622697
261	8.695077257
262	8.69088038
263	8.68617307
264	8.680074242
265	8.674298149
266	8.663078794
267	8.660614565
268	8.655017162
269	8.63985106
270	8.634516532
271	8.629732354
272	8.625970795
273	8.620264726
274	8.615928025
275	8.610478917
276	8.606814042
277	8.5993271
278	8.592231767
279	8.587728138
280	8.580805287
281	8.575574304
282	8.570456689
283	8.566002029
284	8.551838797
285	8.539756931
286	8.536701256
287	8.529767133
288	8.519856226
289	8.515315011
290	8.510614944
291	8.506318091
292	8.495284428
293	8.492291304
294	8.488946842
295	8.485141617
296	8.478593549
297	8.473779865
298	8.47080158
299	8.458258819
